date,health_status,count
2025-08-13,On Track,0
2025-08-13,Off Track,0
2025-08-13,At Risk,0
2025-08-13,Complete,0
2025-08-13,On Hold,0
2025-08-13,Mystery,0
2025-08-13,Unknown,70
2025-08-20,On Track,0
2025-08-20,Off Track,0
2025-08-20,At Risk,0
2025-08-20,Complete,0
2025-08-20,On Hold,0
2025-08-20,Mystery,0
2025-08-20,Unknown,79
2025-08-27,On Track,0
2025-08-27,Off Track,0
2025-08-27,At Risk,0
2025-08-27,Complete,0
2025-08-27,On Hold,0
2025-08-27,Mystery,0
2025-08-27,Unknown,89
2025-09-03,On Track,0
2025-09-03,Off Track,0
2025-09-03,At Risk,0
2025-09-03,Complete,0
2025-09-03,On Hold,0
2025-09-03,Mystery,0
2025-09-03,Unknown,98
2025-09-08,On Track,0
2025-09-08,Off Track,0
2025-09-08,At Risk,0
2025-09-08,Complete,0
2025-09-08,On Hold,0
2025-09-08,Mystery,0
2025-09-08,Unknown,98
